Distance
27
3
3
4
17
2
17
12
1
15
4
0
7
1
3
12
16
13
3
1
11
3
14
6
0
2
2
1
11
2
6
1
0
0
32
12
2
20
46
29
38
19
5
6
11
12
3
6
9
14
6
34
5
2
6
10
0
2
6
15
17
32
1
1
9
10
4
14
0
16
0
1
10
1
9
14
87
0
0
18
2
30
4
20
27
26
9
10
7
20
18
28
5
2
10
3
6
7
2
24
0
13
7
5
4
16
16
1
16
26
20
40
15
12
1
28
4
0
9
17
0
7
8
10
5
1
2
17
1
27
15
27
6
15
51
0
5
17
1
9
7
16
2
8
4
23
8
17
3
5
2
8
3
48
9
3
12
3
10
3
3
1
0
28
2
1
29
3
25
21
18
11
1
0
6
5
2
5
3
14
1
21
4
1
1
18
13
24
2
5
11
11
10
1
1
16
14
22
2
21
4
3
0
1
14
5
12
6
21
0
4
3
7
3
27
7
3
3
11
2
18
0
19
0
6
8
16
16
0
52
4
1
10
13
15
16
22
6
14
7
17
7
13
9
8
2
9
14
9
2
2
4
0
2
44
22
7
11
18
3
1
4
5
3
9
2
1
17
7
9
7
4
0
5
1
12
17
10
0
23
30
6
0
9
3
9
4
74
9
5
13
22
25
3
7
1
4
1
0
1
0
9
13
17
1
8
12
24
1
1
16
15
12
5
33
1
24
4
19
1
0
24
20
38
11
1
3
12
5
5
5
8
10
13
4
0
2
8
8
4
6
6
20
31
7
0
9
32
3
1
0
4
6
6
26
8
11
3
21
7
51
3
20
9
15
19
1
17
10
18
7
4
1
5
5
0
2
2
2
16
11
0
5
4
24
2
16
21
26
15
4
3
14
6
7
5
14
2
45
2
11
7
13
0
1
9
16
24
11
3
4
0
4
0
4
2
22
18
7
30
35
0
15
18
3
0
6
5
2
2
16
39
14
0
10
19
25
5
10
0
4
5
8
2
7
10
10
3
6
16
0
3
16
2
27
8
22
13
42
18
14
1
3
14
20
13
5
4
1
8
3
2
15
3
2
39
4
41
20
14
38
16
4
6
28
4
23
3
2
29
5
4
13
5
6
8
8
22
4
2
5
31
2
12
6
3
0
0
23
14
25
3
13
9
2
4
0
2
1
5
5
10
10
4
3
4
3
0
41
8
14
12
2
2
20
14
6
0
21
20
4
28
23
13
11
1
2
1
1
3
4
48
0
3
0
1
11
8
5
11
0
2
21
1
1
9
1
8
1
5
9
3
45
7
5
15
10
3
2
1
0
2
0
17
15
6
30
33
5
3
24
12
4
2
1
1
12
28
18
4
13
2
20
2
7
5
6
2
1
1
11
29
5
1
2
5
0
6
15
1
3
0
6
29
3
5
4
11
25
0
15
3
4
8
2
4
4
12
21
4
19
27
5
4
1
1
0
3
33
1
10
5
17
35
11
22
3
14
4
7
12
3
13
6
15
12
2
46
15
24
2
1
21
6
9
30
0
1
23
6
1
11
32
2
0
0
13
8
3
8
10
2
2
4
22
18
14
7
19
18
5
9
20
23
7
35
4
5
13
26
25
3
35
23
10
36
9
11
2
8
9
9
2
12
2
6
7
16
4
11
7
2
6
15
4
42
2
1
8
8
4
29
9
11
2
1
25
9
6
17
27
1
32
12
14
5
1
11
1
0
16
19
17
4
7
6
19
31
0
25
9
3
11
12
2
4
40
25
3
4
5
7
12
4
0
0
12
19
16
9
30
1
11
6
1
3
2
7
4
6
2
12
27
4
19
0
18
11
17
0
37
2
5
13
6
18
5
9
4
18
6
39
51
1
0
41
1
8
14
5
22
3
1
5
16
2
26
1
13
5
3
4
29
9
2
8
2
4
1
3
5
8
11
5
57
22
8
11
6
1
9
3
13
15
19
3
6
4
8
12
10
5
4
11
0
6
6
10
38
17
0
7
16
2
8
11
2
7
4
26
19
9
18
12
37
11
16
14
12
12
9
2
10
13
17
22
1
0
9
11
5
8
8
27
7
4
14
15
8
39
12
7
10
5
9
2
9
3
3
31
5
38
1
29
2
0
27
4
40
0
9
5
2
0
22
5
5
5
15
6
8
7
19
4
15
1
30
3
9
26
4
6
13
10
6
20
22
3
18
14
1
9
13
7
0
3
1
0
0
25
1
3
5
25
10
2
1
7
5
2
4
13
6
0
2
28
8
14
16
10
0
2
0
6
18
10
28
0
5
28
4
39
28
8
2
34
6
24
1
6
2
4
10
4
9
6
1
0
1
1
13
25
5
2
0
7
0
4
8
5
8
0
8
0
1
7
11
11
18
7
38
27
10
3
45
15
2
22
12
3
4
28
14
0
12
5
1
2
24
8
4
28
5
0
20
6
22
20
5
