Distance
6
8
16
16
0
52
4
1
10
13
15
16
22
6
14
7
17
7
13
9
8
2
9
14
9
2
2
4
0
2
44
22
7
11
18
3
1
4
5
3
9
2
1
17
7
9
7
4
0
5
1
12
17
10
0
23
30
6
0
9
3
9
4
74
9
5
13
22
25
3
7
1
4
1
0
1
0
9
13
17
1
8
12
24
1
1
16
15
12
5
33
1
24
4
19
1
0
24
20
38
11
1
3
12
5
5
5
8
10
13
4
0
2
8
8
4
6
6
20
31
7
0
9
32
3
1
0
4
6
6
26
8
11
3
21
7
51
3
20
9
15
19
1
17
10
18
7
4
1
5
5
0
2
2
2
16
11
0
5
4
24
2
16
21
26
15
4
3
14
6
7
5
14
2
45
2
11
7
13
0
1
9
16
24
11
3
4
0
4
0
4
2
22
18
7
30
35
0
15
18
